,VOLTAGE,CLOCK,FOM,UTIL,POWER
0,0.6,50.0,2.9092286955353965,0.8459072,6.299999999999999e-05
2,0.65,60.0,3.157882382277609,0.8459166666666667,8.206250000000001e-05
1,0.625,60.0,2.90113680243627,0.8459173333333333,7.539062499999999e-05
3,0.675,70.0,3.2004612399273222,0.8459234285714285,9.703125e-05
4,0.7,90.0,3.2099361548688474,0.8459315555555555,0.000125125
5,0.725,90.0,3.3478237612479487,0.845932,0.00013049999999999997
6,0.75,100.0,3.3874958045673256,0.8459348,0.00014671874999999999
8,0.8,120.0,3.5498266271601784,0.845937,0.0001845
7,0.775,110.0,3.456685941373461,0.8459370909090909,0.00016468749999999998
9,0.825,130.0,3.7088230629252203,0.84594,0.00020882812499999998
11,0.875,150.0,3.9478304210958455,0.8459432,0.00025648437500000004
10,0.85,140.0,3.8110858816742446,0.8459437142857142,0.00023109375
12,0.9,160.0,4.115273194174529,0.8459445,0.0002851875
13,0.925,170.0,4.263441988951693,0.8459454117647058,0.000313921875
15,0.975,190.0,4.598430762278769,0.8459467368421053,0.000378421875
14,0.95,180.0,4.4171897176825645,0.8459468888888889,0.00034437499999999995
17,1.025,200.0,5.043647607637552,0.8459478,0.00043690625
18,1.05,200.0,5.386358960413347,0.845948,0.00046659375
16,1.0,200.0,4.76911224644736,0.8459486,0.000413125
