,VOLTAGE,FOM,UTIL,POWER
0,0.6,0.7350850574712527,0.8718299115338265,0.0002625
9,1.05,3.8077253803661444,0.8718333957472225,0.00135975
6,0.9,1.9406167435356314,0.8718334193940419,0.000693
5,0.85,1.6245313524866825,0.8718334666876554,0.0005801249999999999
2,0.7,1.0340154029488753,0.8718334903344492,0.00036924999999999995
8,1.0,3.0103359733785813,0.8718334903344492,0.001075
4,0.8,1.400156152758228,0.8718335612747795,0.0005
1,0.65,0.8645963774272832,0.8718336085682905,0.00030875
3,0.75,1.2076345834899134,0.8718336322150332,0.00043125
7,0.95,2.3743145384455744,0.8718336558617672,0.0008478749999999999
